t=0.0, v=1.5e-05, theta=1.5700454002257278, v_L=1.4901952210456036e-05, v_R=1.5098047789543961e-05
t=0.738882882882883, v=2.4392698648648645, theta=1.407635683980548, v_L=2.5756259811942, v_R=2.3029137485355293
t=0.7463463463463463, v=2.4493317867867863, theta=1.405786127592401, v_L=2.5868880383441537, v_R=2.3117755352294185
t=0.7538098098098098, v=2.458559624624624, theta=1.403931987426622, v_L=2.597278112466637, v_R=2.3198411367826117
t=0.7612732732732733, v=2.4669510360360363, theta=1.402073244834484, v_L=2.6067931225935244, v_R=2.3271089494785477
t=0.7687367367367368, v=2.474507267267267, theta=1.4002098813167598, v_L=2.615433769948584, v_R=2.333580764585949
t=0.7762002002002002, v=2.4812281681681676, theta=1.398341878527454, v_L=2.6231992724346918, v_R=2.339257063901643
t=0.7836636636636637, v=2.4871127927927925, theta=1.3964692182774512, v_L=2.630087997885429, v_R=2.344137587700156
t=0.7911271271271272, v=2.4921631831831825, theta=1.3945918825383334, v_L=2.6361014652716626, v_R=2.348224901094702
t=0.7985905905905907, v=2.496376201201201, theta=1.3927098534461053, v_L=2.641235706576052, v_R=2.351516695826351
t=0.8060540540540541, v=2.499756081081081, theta=1.3908231133051565, v_L=2.6454945440905657, v_R=2.3540176180715973
t=0.8135175175175176, v=2.502297492492492, theta=1.3889316445920785, v_L=2.6488716714528984, v_R=2.355723313532086
t=0.820980980980981, v=2.504006576576576, theta=1.3870354299597456, v_L=2.651372914512586, v_R=2.356640238640567
t=0.8284444444444445, v=2.504876666666666, theta=1.3851344522412254, v_L=2.652990532268438, v_R=2.3567628010648938
t=0.8359079079079079, v=2.5049999999999994, theta=1.3832286944539913, v_L=2.653821547507387, v_R=2.356178452492611
t=0.8433713713713714, v=2.5049999999999994, theta=1.3813181398039074, v_L=2.654525971412033, v_R=2.3554740285879654
t=0.8508348348348349, v=2.5049999999999994, theta=1.379402771689553, v_L=2.655234430296919, v_R=2.3547655697030803
t=0.8582982982982983, v=2.5049999999999994, theta=1.377482573706394, v_L=2.6559469239155455, v_R=2.354053076084453
t=0.8657617617617618, v=2.5049999999999994, theta=1.3755575296511027, v_L=2.65666345150021, v_R=2.353336548499789
t=0.8732252252252253, v=2.5049999999999994, theta=1.373627623525945, v_L=2.6573840117493, v_R=2.352615988250699
t=0.8806886886886888, v=2.5049999999999994, theta=1.3716928395431298, v_L=2.6581086028230327, v_R=2.3518913971769666
t=0.8881521521521522, v=2.5049999999999994, theta=1.3697531621293177, v_L=2.6588372223234287, v_R=2.3511627776765702
t=0.8956156156156156, v=2.5049999999999994, theta=1.3678085759301757, v_L=2.6595698672830923, v_R=2.3504301327169066
t=0.9030790790790791, v=2.5049999999999994, theta=1.3658590658149115, v_L=2.6603065341589978, v_R=2.349693465841001
t=0.9105425425425426, v=2.5049999999999994, theta=1.363904616880895, v_L=2.66104721881793, v_R=2.348952781182069
t=0.918006006006006, v=2.5049999999999994, theta=1.3619452144584383, v_L=2.6617919165159787, v_R=2.34820808348402
t=0.9254694694694695, v=2.5049999999999994, theta=1.359980844115449, v_L=2.6625406219002565, v_R=2.3474593780997433
t=0.932932932932933, v=2.5049999999999994, theta=1.3580114916623596, v_L=2.663293328979209, v_R=2.34670667102079
t=0.9403963963963965, v=2.5049999999999994, theta=1.3560371431567773, v_L=2.6640500311360893, v_R=2.3459499688639096
t=0.9478598598598599, v=2.5049999999999994, theta=1.3540577849087259, v_L=2.664810721073781, v_R=2.345189278926219
t=0.9553233233233234, v=2.5049999999999994, theta=1.3520734034852757, v_L=2.665575390854675, v_R=2.344424609145324
t=0.9627867867867869, v=2.5049999999999994, theta=1.3500839857158693, v_L=2.666344031836798, v_R=2.3436559681632008
t=0.9702502502502502, v=2.5049999999999994, theta=1.3480895186972681, v_L=2.6671166346949478, v_R=2.3428833653050507
t=0.9777137137137137, v=2.5049999999999994, theta=1.3460899897986303, v_L=2.6678931894016644, v_R=2.342106810598334
t=0.9851771771771772, v=2.5049999999999994, theta=1.3440853866670217, v_L=2.6686736851831223, v_R=2.3413263148168766
t=0.9926406406406407, v=2.5049999999999994, theta=1.3420756972322436, v_L=2.6694581105650137, v_R=2.3405418894349848
t=1.000104104104104, v=2.5049999999999994, theta=1.3400609097125267, v_L=2.6702464532936645, v_R=2.3397535467063344
t=1.0075675675675677, v=2.5049999999999994, theta=1.3380410126197464, v_L=2.67103870036497, v_R=2.3389612996350286
t=1.015031031031031, v=2.5049999999999994, theta=1.3360159947648012, v_L=2.6718348380020784, v_R=2.33816516199792
t=1.0224944944944945, v=2.5049999999999994, theta=1.3339858452632822, v_L=2.6726348516218694, v_R=2.3373651483781295
t=1.029957957957958, v=2.5049999999999994, theta=1.3319505535408045, v_L=2.6734387258527796, v_R=2.3365612741472193
t=1.0374214214214215, v=2.5049999999999994, theta=1.3299101093387797, v_L=2.674246444489233, v_R=2.335753555510766
t=1.0448848848848848, v=2.5049999999999994, theta=1.3278645027199758, v_L=2.67505799049884, v_R=2.3349420095011593
t=1.0523483483483485, v=2.5049999999999994, theta=1.3258137240742838, v_L=2.675873345995449, v_R=2.3341266540045504
t=1.0598118118118118, v=2.5049999999999994, theta=1.3237577641244667, v_L=2.67669249223054, v_R=2.333307507769459
