t=0.0, v=1.5e-05, theta=1.5700454002257278, v_L=1.4901952210456036e-05, v_R=1.5098047789543961e-05
t=3.492900900900901, v=2.5049999999999994, theta=0.6362372423857598, v_L=2.569724720964874, v_R=2.440275279035125
t=3.5003643643643647, v=2.5049999999999994, theta=0.6357786788543995, v_L=2.566782986911303, v_R=2.4432170130886957
t=3.507827827827828, v=2.5049999999999994, theta=0.6353420674856252, v_L=2.56383083640943, v_R=2.446169163590569
t=3.5152912912912915, v=2.5049999999999994, theta=0.6349274764315551, v_L=2.5608684807571342, v_R=2.449131519242865
t=3.522754754754755, v=2.5049999999999994, theta=0.6345349727900925, v_L=2.557896133626349, v_R=2.4521038663736494
t=3.5302182182182182, v=2.5049999999999994, theta=0.6341646226027378, v_L=2.5549140095887615, v_R=2.455085990411238
t=3.537681681681682, v=2.5049999999999994, theta=0.6338164908404308, v_L=2.5519223257307693, v_R=2.4580776742692296
t=3.5451451451451454, v=2.5049999999999994, theta=0.6334906413974766, v_L=2.54892130056786, v_R=2.4610786994321394
t=3.5526086086086086, v=2.5049999999999994, theta=0.6331871370830295, v_L=2.545911154376668, v_R=2.464088845623331
t=3.560072072072072, v=2.5049999999999994, theta=0.6329060396083084, v_L=2.5428921097734265, v_R=2.467107890226572
t=3.567535535535536, v=2.5049999999999994, theta=0.6326474095815529, v_L=2.539864390674714, v_R=2.4701356093252858
t=3.574998998998999, v=2.5049999999999994, theta=0.6324113064955468, v_L=2.536828223302358, v_R=2.473171776697641
t=3.5824624624624626, v=2.5049999999999994, theta=0.6321977887180505, v_L=2.5337838357956, v_R=2.4762161642043985
t=3.589925925925926, v=2.5049999999999994, theta=0.6320069134832366, v_L=2.530731458079569, v_R=2.47926854192043
t=3.5973893893893893, v=2.5049999999999994, theta=0.6318387368788607, v_L=2.527671322444011, v_R=2.482328677555988
t=3.604852852852853, v=2.5049999999999994, theta=0.6316933138387859, v_L=2.5246036628260553, v_R=2.4853963371739436
t=3.6123163163163166, v=2.5049999999999994, theta=0.6315706981299077, v_L=2.5215287155687096, v_R=2.4884712844312893
t=3.61977977977978, v=2.5049999999999994, theta=0.6314709423418715, v_L=2.518446719048718, v_R=2.491553280951281
t=3.6272432432432433, v=2.5049999999999994, theta=0.6313940978770496, v_L=2.515357913645749, v_R=2.4946420863542498
t=3.634706706706707, v=2.5049999999999994, theta=0.6313402149368736, v_L=2.5122625422376426, v_R=2.4977374577623563
t=3.6421701701701705, v=2.5049999999999994, theta=0.6313093425131371, v_L=2.509160849534549, v_R=2.5008391504654495
t=3.6496336336336337, v=2.5049999999999994, theta=0.6313015283732442, v_L=2.5060530828989354, v_R=2.5039469171010644
t=3.6570970970970973, v=2.5049999999999994, theta=0.6313168190500567, v_L=2.50293949172963, v_R=2.50706050827037
t=3.664560560560561, v=2.5049999999999994, theta=0.6313552598300648, v_L=2.49982032769163, v_R=2.5101796723083694
t=3.672024024024024, v=2.5049999999999994, theta=0.6314168947377389, v_L=2.496695845234279, v_R=2.5133041547657196
t=3.6794874874874877, v=2.5049999999999994, theta=0.6315017665272061, v_L=2.4935663006077053, v_R=2.5164336993922936
t=3.6869509509509513, v=2.5049999999999994, theta=0.6316099166655231, v_L=2.490431952998521, v_R=2.5195680470014783
t=3.6944144144144144, v=2.5049999999999994, theta=0.631741385320803, v_L=2.4872930638788056, v_R=2.522706936121193
t=3.701877877877878, v=2.5049999999999994, theta=0.6318962113504756, v_L=2.484149896990899, v_R=2.525850103009101
t=3.7093413413413416, v=2.5049999999999994, theta=0.6320744322840658, v_L=2.4810027190885395, v_R=2.5289972809114594
t=3.716804804804805, v=2.5049999999999994, theta=0.6322760843122123, v_L=2.4778517990983624, v_R=2.532148200901637
t=3.7242682682682684, v=2.5049999999999994, theta=0.6325012022713198, v_L=2.474697408709962, v_R=2.5353025912900375
t=3.731731731731732, v=2.5049999999999994, theta=0.6327498196289281, v_L=2.4715398222809544, v_R=2.5384601777190445
t=3.739195195195195, v=2.5049999999999994, theta=0.6330219684701768, v_L=2.4683793166903594, v_R=2.5416206833096386
t=3.7466586586586588, v=2.5049999999999994, theta=0.6333176794815614, v_L=2.4652161717042715, v_R=2.544783828295727
t=3.7541221221221224, v=2.5049999999999994, theta=0.6336369819363954, v_L=2.462050669746142, v_R=2.547949330253857
t=3.761585585585586, v=2.5049999999999994, theta=0.6339799036801173, v_L=2.4588830959176526, v_R=2.5511169040823463
t=3.769049049049049, v=2.5049999999999994, theta=0.6343464711139981, v_L=2.45571373821316, v_R=2.5542862617868387
t=3.7765125125125127, v=2.5049999999999994, theta=0.6347367091796261, v_L=2.4525428874137982, v_R=2.557457112586201
t=3.7839759759759763, v=2.5049999999999994, theta=0.6351506413421357, v_L=2.449370837254282, v_R=2.560629162745717
t=3.7914394394394395, v=2.5049999999999994, theta=0.6355882895757629, v_L=2.4461978841080008, v_R=2.563802115891999
t=3.798902902902903, v=2.5049999999999994, theta=0.6360496743460053, v_L=2.443024327440012, v_R=2.566975672559987
t=3.8063663663663667, v=2.5049999999999994, theta=0.6365348145925354, v_L=2.4398504697020256, v_R=2.5701495302979733
t=3.81382982982983, v=2.5049999999999994, theta=0.6370437277146747, v_L=2.4366766159837923, v_R=2.573323384016206
t=3.8212932932932935, v=2.5049999999999994, theta=0.6375764295513944, v_L=2.433503074742998, v_R=2.5764969252570014
t=3.828756756756757, v=2.5049999999999994, theta=0.6381329343665965, v_L=2.430330157090186, v_R=2.579669842909813
t=3.8362202202202202, v=2.5049999999999994, theta=0.6387132548299637, v_L=2.427158177376557, v_R=2.5828418226234415
t=3.843683683683684, v=2.5049999999999994, theta=0.6393174020000473, v_L=2.4239874528858953, v_R=2.586012547114104
t=3.8511471471471475, v=2.5049999999999994, theta=0.6399453853067862, v_L=2.4208183039022884, v_R=2.589181696097711
t=3.8586106106106106, v=2.5049999999999994, theta=0.6405972125332121, v_L=2.4176510538097213, v_R=2.592348946190277
t=3.866074074074074, v=2.5049999999999994, theta=0.6412728897965154, v_L=2.41448602916714, v_R=2.595513970832859
t=3.873537537537538, v=2.5049999999999994, theta=0.6419724215317613, v_L=2.4113235593416604, v_R=2.598676440658339
t=3.881001001001001, v=2.5049999999999994, theta=0.6426958104713669, v_L=2.4081639770641377, v_R=2.6018360229358612
t=3.8884644644644646, v=2.5049999999999994, theta=0.6434430576274712, v_L=2.4050076180280144, v_R=2.604992381971984
t=3.895927927927928, v=2.5049999999999994, theta=0.6442141622735534, v_L=2.4018548209748656, v_R=2.6081451790251338
t=3.903391391391392, v=2.5049999999999994, theta=0.6450091219251389, v_L=2.3987059278012146, v_R=2.6112940721987843
t=3.910854854854855, v=2.5049999999999994, theta=0.6458279323208305, v_L=2.3955612834976554, v_R=2.6144387165023435
t=3.9183183183183186, v=2.5049999999999994, theta=0.646670587403101, v_L=2.3924212361623183, v_R=2.61757876383768
t=3.925781781781782, v=2.5049999999999994, theta=0.6475370793000462, v_L=2.3892861368534892, v_R=2.6207138631465092
t=3.9332452452452453, v=2.5049999999999994, theta=0.6484273983050778, v_L=2.3861563398435535, v_R=2.6238436601564454
t=3.940708708708709, v=2.5049999999999994, theta=0.6493415328584163, v_L=2.383032202357075, v_R=2.6269677976429238
t=3.9481721721721725, v=2.5049999999999994, theta=0.6502794695268714, v_L=2.3799140847757956, v_R=2.6300859152242033
t=3.9556356356356357, v=2.5049999999999994, theta=0.651241192985728, v_L=2.376802350332524, v_R=2.633197649667475
t=3.9630990990990993, v=2.5049999999999994, theta=0.6522266859979616, v_L=2.37369736544201, v_R=2.636302634557989
t=3.970562562562563, v=2.5049999999999994, theta=0.653235929395825, v_L=2.370599499356402, v_R=2.639400500643597
t=3.978026026026026, v=2.5049999999999994, theta=0.6542689020600291, v_L=2.3675091244573623, v_R=2.6424908755426366
t=3.9854894894894897, v=2.5049999999999994, theta=0.6553255809027384, v_L=2.3644266157171265, v_R=2.645573384282873
t=3.9929529529529533, v=2.5049999999999994, theta=0.6564059408447898, v_L=2.361352351435882, v_R=2.648647648564118
t=4.000416416416416, v=2.5049999999999994, theta=0.6575099547993585, v_L=2.3582867123499227, v_R=2.6517132876500766
t=4.00787987987988, v=2.5049999999999994, theta=0.658637593650529, v_L=2.355230082274369, v_R=2.654769917725629
t=4.015343343343344, v=2.5049999999999994, theta=0.6597888262349224, v_L=2.352182847660188, v_R=2.6578171523398115
t=4.022806806806807, v=2.5049999999999994, theta=0.6609636193220655, v_L=2.3491453977230767, v_R=2.6608546022769217
t=4.030270270270271, v=2.5049999999999994, theta=0.6621619375957158, v_L=2.346118124276245, v_R=2.6638818757237535
t=4.037733733733734, v=2.5049999999999994, theta=0.663383743634271, v_L=2.343101421811129, v_R=2.66689857818887
t=4.045197197197197, v=2.5049999999999994, theta=0.6646289978921859, v_L=2.340095687319419, v_R=2.669904312680581
t=4.052660660660661, v=2.5049999999999994, theta=0.6658976586812145, v_L=2.3371013202724393, v_R=2.672898679727559
t=4.060124124124124, v=2.5049999999999994, theta=0.6671896821512474, v_L=2.3341187226272515, v_R=2.675881277372747
t=4.067587587587588, v=2.5049999999999994, theta=0.668505022273368, v_L=2.3311482984849965, v_R=2.6788517015150024
t=4.075051051051052, v=2.5049999999999994, theta=0.6698436308198451, v_L=2.328190454446594, v_R=2.6818095455534046
t=4.082514514514514, v=2.5049999999999994, theta=0.6712054573467218, v_L=2.325245599216532, v_R=2.6847544007834663
t=4.089977977977978, v=2.5049999999999994, theta=0.672590449176983, v_L=2.3223141434740673, v_R=2.6876858565259316
t=4.0974414414414415, v=2.5049999999999994, theta=0.6739985513818701, v_L=2.3193965000620334, v_R=2.690603499937966
t=4.104904904904905, v=2.5049999999999994, theta=0.6754297067637487, v_L=2.316493083725589, v_R=2.6935069162744103
t=4.112368368368369, v=2.5049999999999994, theta=0.6768838558402818, v_L=2.3136043108799367, v_R=2.6963956891200622
t=4.119831831831832, v=2.5049999999999994, theta=0.6783609368258094, v_L=2.3107305999200567, v_R=2.699269400079942
t=4.127295295295296, v=2.5049999999999994, theta=0.6798608856174584, v_L=2.3078723705336968, v_R=2.702127629466302
t=4.134758758758759, v=2.5049999999999994, theta=0.6813836357767393, v_L=2.3050300442328604, v_R=2.704969955767139
t=4.142222222222222, v=2.5049999999999994, theta=0.6829291185161387, v_L=2.3022040436303195, v_R=2.70779595636968
t=4.149685685685686, v=2.5049999999999994, theta=0.6844972626823681, v_L=2.299394792812017, v_R=2.710605207187982
t=4.1571491491491495, v=2.5049999999999994, theta=0.6860879947423123, v_L=2.296602716913847, v_R=2.713397283086152
t=4.164612612612613, v=2.5049999999999994, theta=0.6877012387688521, v_L=2.2938282420672533, v_R=2.7161717579327456
t=4.172076076076077, v=2.5049999999999994, theta=0.6893369164263959, v_L=2.291071795365083, v_R=2.718928204634916
t=4.179539539539539, v=2.5049999999999994, theta=0.6909949469583742, v_L=2.2883338045310997, v_R=2.721666195468899
t=4.187003003003003, v=2.5049999999999994, theta=0.6926752471733411, v_L=2.2856146980258956, v_R=2.724385301974103
t=4.194466466466467, v=2.5049999999999994, theta=0.6943777314332356, v_L=2.282914904688462, v_R=2.727085095311537
t=4.20192992992993, v=2.5049999999999994, theta=0.6961023116421955, v_L=2.280234853584609, v_R=2.72976514641539
t=4.209393393393394, v=2.5049999999999994, theta=0.6978488972336592, v_L=2.2775749741514058, v_R=2.7324250258485927
t=4.216856856856857, v=2.5049999999999994, theta=0.6996173951614029, v_L=2.2749356956012514, v_R=2.735064304398747
t=4.22432032032032, v=2.5049999999999994, theta=0.7014077098886674, v_L=2.2723174470888488, v_R=2.7376825529111497
t=4.231783783783784, v=2.5049999999999994, theta=0.7032197433793029, v_L=2.2697206573643363, v_R=2.7402793426356626
t=4.239247247247247, v=2.5049999999999994, theta=0.7050533950879239, v_L=2.267145754815914, v_R=2.742854245184085
t=4.246710710710711, v=2.5049999999999994, theta=0.7069085619538289, v_L=2.264593166894285, v_R=2.7454068331057138
t=4.2541741741741745, v=2.5049999999999994, theta=0.7087851383917004, v_L=2.2620633204432985, v_R=2.747936679556701
t=4.261637637637638, v=2.5049999999999994, theta=0.7106830162862282, v_L=2.259556641100632, v_R=2.750443358899367
t=4.269101101101102, v=2.5049999999999994, theta=0.7126020849859788, v_L=2.2570735533073396, v_R=2.752926446692659
t=4.2765645645645645, v=2.5049999999999994, theta=0.7145422312978708, v_L=2.254614480136651, v_R=2.7553855198633475
t=4.284028028028028, v=2.5049999999999994, theta=0.716503339483592, v_L=2.252179842952084, v_R=2.757820157047915
t=4.291491491491492, v=2.5049999999999994, theta=0.7184852912557433, v_L=2.2497700613498406, v_R=2.7602299386501588
t=4.298954954954955, v=2.5049999999999994, theta=0.7204879657750397, v_L=2.247385552927775, v_R=2.7626144470722234
t=4.306418418418419, v=2.5049999999999994, theta=0.7225112396489969, v_L=2.245026733001783, v_R=2.7649732669982163
t=4.3138818818818825, v=2.5049999999999994, theta=0.7245549869305907, v_L=2.24269401451259, v_R=2.7673059854874094
t=4.321345345345345, v=2.5049999999999994, theta=0.7266190791180613, v_L=2.2403878077844515, v_R=2.769612192215547
t=4.328808808808809, v=2.5049999999999994, theta=0.7287033851570194, v_L=2.238108520133559, v_R=2.7718914798664396
t=4.336272272272272, v=2.5049999999999994, theta=0.7308077714401775, v_L=2.2358565560763677, v_R=2.7741434439236308
t=4.343735735735736, v=2.5049999999999994, theta=0.7329321018125498, v_L=2.2336323165335124, v_R=2.7763676834664865
t=4.3511991991992, v=2.5049999999999994, theta=0.7350762375727664, v_L=2.23143619923053, v_R=2.7785638007694695
t=4.358662662662663, v=2.5049999999999994, theta=0.7372400374799507, v_L=2.229268597889921, v_R=2.780731402110077
t=4.366126126126126, v=2.5049999999999994, theta=0.7394233577577719, v_L=2.2271299024969573, v_R=2.7828700975030416
t=4.3735895895895895, v=2.5049999999999994, theta=0.7416260521023089, v_L=2.2250204987168147, v_R=2.784979501283184
t=4.381053053053053, v=2.5049999999999994, theta=0.7438479716892406, v_L=2.222940767885288, v_R=2.7870592321147107
t=4.388516516516517, v=2.5049999999999994, theta=0.7460889651829243, v_L=2.220891086674105, v_R=2.7891089133258933
t=4.39597997997998, v=2.5049999999999994, theta=0.7483488787462994, v_L=2.2188718268907635, v_R=2.791128173109235
t=4.403443443443444, v=2.5049999999999994, theta=0.7506275560510978, v_L=2.216883355346996, v_R=2.793116644653003
t=4.410906906906908, v=2.5049999999999994, theta=0.7529248382914839, v_L=2.214926033330113, v_R=2.7950739666698854
t=4.41837037037037, v=2.5049999999999994, theta=0.7552405641958172, v_L=2.21300021675049, v_R=2.7969997832495093
t=4.425833833833834, v=2.5049999999999994, theta=0.7575745700411753, v_L=2.211106255700884, v_R=2.798893744299115
t=4.4332972972972975, v=2.5049999999999994, theta=0.7599266896693365, v_L=2.2092444941827694, v_R=2.8007555058172295
t=4.440760760760761, v=2.5049999999999994, theta=0.7622967545025857, v_L=2.207415270041194, v_R=2.802584729958805
t=4.448224224224225, v=2.5049999999999994, theta=0.7646845935620726, v_L=2.2056189145561476, v_R=2.804381085443852
t=4.455687687687688, v=2.5049999999999994, theta=0.7670900334858778, v_L=2.2038557523959827, v_R=2.8061442476040166
t=4.463151151151151, v=2.5049999999999994, theta=0.7695128985496819, v_L=2.2021261012054474, v_R=2.807873898794552
t=4.470614614614615, v=2.5049999999999994, theta=0.7719530106871587, v_L=2.200430271560621, v_R=2.8095697284393775
t=4.478078078078078, v=2.5049999999999994, theta=0.7744101895129665, v_L=2.198768566564736, v_R=2.811231433435263
t=4.485541541541542, v=2.5049999999999994, theta=0.7768842523461134, v_L=2.1971412817232876, v_R=2.8128587182767113
t=4.493005005005005, v=2.5049999999999994, theta=0.7793750142336855, v_L=2.1955487048258457, v_R=2.8144512951741536
t=4.500468468468469, v=2.5049999999999994, theta=0.781882287978194, v_L=2.193991115421625, v_R=2.816008884578374
t=4.507931931931932, v=2.5049999999999994, theta=0.7844058841629814, v_L=2.192468784992883, v_R=2.817531215007116
t=4.515395395395395, v=2.5049999999999994, theta=0.7869456111816514, v_L=2.190981976386945, v_R=2.8190180236130535
t=4.522858858858859, v=2.5049999999999994, theta=0.7895012752662025, v_L=2.189530943914542, v_R=2.8204690560854573
t=4.530322322322323, v=2.5049999999999994, theta=0.7920726805189015, v_L=2.188115932824976, v_R=2.8218840671750227
t=4.537785785785786, v=2.5049999999999994, theta=0.7946596289425093, v_L=2.1867371794530883, v_R=2.823262820546911
t=4.54524924924925, v=2.5049999999999994, theta=0.7972619204740459, v_L=2.1853949107275104, v_R=2.824605089272489
t=4.5527127127127125, v=2.5049999999999994, theta=0.7998793530183567, v_L=2.1840893441437084, v_R=2.8259106558562905
t=4.560176176176176, v=2.5049999999999994, theta=0.8025117224832581, v_L=2.182820687524021, v_R=2.8271793124759785
t=4.56763963963964, v=2.5049999999999994, theta=0.8051588228155672, v_L=2.181589138863414, v_R=2.828410861136585
t=4.575103103103103, v=2.5049999999999994, theta=0.8078204460395794, v_L=2.1803948859910514, v_R=2.829605114008948
t=4.582566566566567, v=2.5049999999999994, theta=0.8104963822931048, v_L=2.179238106832605, v_R=2.830761893167393
t=4.5900300300300305, v=2.5049999999999994, theta=0.8131864198701616, v_L=2.178118968563119, v_R=2.8318810314368807
t=4.597493493493494, v=2.5049999999999994, theta=0.8158903452586541, v_L=2.17703762819493, v_R=2.8329623718050687
t=4.604956956956957, v=2.5049999999999994, theta=0.8186079431843827, v_L=2.1759942317779393, v_R=2.83400576822206
t=4.61242042042042, v=2.5049999999999994, theta=0.8213389966523066, v_L=2.1749889147188375, v_R=2.8350110852811614
t=4.619883883883884, v=2.5049999999999994, theta=0.8240832869914854, v_L=2.1740218013171106, v_R=2.8359781986828883
t=4.627347347347348, v=2.5049999999999994, theta=0.826840593898748, v_L=2.1730930049094757, v_R=2.836906995090523
t=4.634810810810811, v=2.5049999999999994, theta=0.8296106954852441, v_L=2.172202627516059, v_R=2.83779737248394
t=4.642274274274275, v=2.5049999999999994, theta=0.8323933683233669, v_L=2.1713507597939086, v_R=2.8386492402060894
t=4.649737737737738, v=2.5049999999999994, theta=0.8351883874939663, v_L=2.1705374810064866, v_R=2.8394625189935123
t=4.657201201201201, v=2.5049999999999994, theta=0.837995526635473, v_L=2.1697628588021467, v_R=2.8402371411978518
t=4.664664664664665, v=2.5049999999999994, theta=0.8408145579931919, v_L=2.169026949206396, v_R=2.840973050793603
t=4.672128128128128, v=2.5049999999999994, theta=0.8436452524697879, v_L=2.168329796498916, v_R=2.841670203501083
t=4.679591591591592, v=2.5049999999999994, theta=0.8464873796769015, v_L=2.1676714331009186, v_R=2.8423285668990808
t=4.687055055055056, v=2.5049999999999994, theta=0.8493407079868102, v_L=2.16705187959815, v_R=2.842948120401848
t=4.694518518518518, v=2.5049999999999994, theta=0.8522050045861316, v_L=2.1664711445319225, v_R=2.8435288554680764
t=4.701981981981982, v=2.5049999999999994, theta=0.855080035528595, v_L=2.16592922454746, v_R=2.8440707754525385
t=4.7094454454454455, v=2.5049999999999994, theta=0.8579655657898727, v_L=2.1654261041941445, v_R=2.8445738958058544
t=4.716908908908909, v=2.5049999999999994, theta=0.8608613593231931, v_L=2.1649617558809813, v_R=2.8450382441190176
t=4.724372372372373, v=2.5049999999999994, theta=0.8637671791144852, v_L=2.1645361399872782, v_R=2.845463860012721
t=4.731835835835836, v=2.5049999999999994, theta=0.8666827872392273, v_L=2.164149204719576, v_R=2.8458507952804224
t=4.7392992992993, v=2.5049999999999994, theta=0.8696079449193979, v_L=2.1638008861642053, v_R=2.846199113835794
t=4.746762762762763, v=2.5049999999999994, theta=0.8725424125805566, v_L=2.1634911083422215, v_R=2.846508891657778
t=4.754226226226226, v=2.5049999999999994, theta=0.8754859499116873, v_L=2.163219782959195, v_R=2.8467802170408043
t=4.76168968968969, v=2.5049999999999994, theta=0.8784383159217433, v_L=2.162986809871749, v_R=2.8470131901282487
t=4.7691531531531535, v=2.5049999999999994, theta=0.8813992689999355, v_L=2.162792076733252, v_R=2.8472079232667467
t=4.776616616616617, v=2.5049999999999994, theta=0.8843685669753842, v_L=2.1626354591601986, v_R=2.8473645408398
t=4.784080080080081, v=2.5049999999999994, theta=0.8873459671764925, v_L=2.1625168208567276, v_R=2.8474831791432718
t=4.791543543543543, v=2.5049999999999994, theta=0.890331226491558, v_L=2.1624360135721936, v_R=2.8475639864278053
t=4.799007007007007, v=2.5049999999999994, theta=0.8933241014290173, v_L=2.162392877245979, v_R=2.8476071227540194
t=4.806470470470471, v=2.5049999999999994, theta=0.8963243481790344, v_L=2.162387239963804, v_R=2.847612760036195
t=4.813933933933934, v=2.5049999999999994, theta=0.8993317226733791, v_L=2.1624189182646583, v_R=2.8475810817353406
t=4.821397397397398, v=2.5049999999999994, theta=0.9023459806478726, v_L=2.162487716967112, v_R=2.8475122830328865
t=4.828860860860861, v=2.5049999999999994, theta=0.905366877702768, v_L=2.1625934295269427, v_R=2.8474065704730567
t=4.836324324324324, v=2.5049999999999994, theta=0.9083941693651445, v_L=2.162735837932878, v_R=2.8472641620671215
t=4.843787787787788, v=2.5049999999999994, theta=0.9114276111498268, v_L=2.162914713008065, v_R=2.8470852869919345
t=4.851251251251251, v=2.5049999999999994, theta=0.9144669586210024, v_L=2.1631298144629674, v_R=2.846870185537032
t=4.858714714714715, v=2.5049999999999994, theta=0.9175119674541464, v_L=2.1633808910016055, v_R=2.8466191089983934
t=4.8661781781781785, v=2.5049999999999994, theta=0.92056239349707, v_L=2.163667680562307, v_R=2.8463323194376926
t=4.873641641641642, v=2.5049999999999994, theta=0.9236179928318169, v_L=2.1639899103696103, v_R=2.846010089630389
t=4.881105105105106, v=2.5049999999999994, theta=0.9266785218350218, v_L=2.164347297255782, v_R=2.845652702744217
t=4.8885685685685685, v=2.5049999999999994, theta=0.9297437372402, v_L=2.164739547599313, v_R=2.8452604524006864
t=4.896032032032032, v=2.5049999999999994, theta=0.932813396197574, v_L=2.1651663577565166, v_R=2.8448336422434823
t=4.903495495495496, v=2.5049999999999994, theta=0.9358872563345867, v_L=2.165627414144129, v_R=2.84437258585587
t=4.910958958958959, v=2.5049999999999994, theta=0.938965075817369, v_L=2.1661223932969302, v_R=2.8438776067030687
t=4.918422422422423, v=2.5049999999999994, theta=0.942046613408708, v_L=2.1666509624209915, v_R=2.843349037579008
t=4.9258858858858865, v=2.5049999999999994, theta=0.9451316285296166, v_L=2.1672127791625106, v_R=2.8427872208374882
t=4.933349349349349, v=2.5049999999999994, theta=0.9482198813166459, v_L=2.1678074922501125, v_R=2.842192507749886
t=4.940812812812813, v=2.5049999999999994, theta=0.9513111326817018, v_L=2.1684347413891314, v_R=2.841565258610867
t=4.948276276276276, v=2.5049999999999994, theta=0.9544051443696955, v_L=2.1690941576771383, v_R=2.8409058423228606
t=4.95573973973974, v=2.5049999999999994, theta=0.9575016790157428, v_L=2.169785363827021, v_R=2.8402146361729774
t=4.963203203203204, v=2.5049999999999994, theta=0.9606005002030896, v_L=2.1705079742674243, v_R=2.8394920257325746
t=4.970666666666667, v=2.5049999999999994, theta=0.9637013725186171, v_L=2.1712615955864925, v_R=2.8387384044135064
t=4.97813013013013, v=2.5049999999999994, theta=0.9668040616089858, v_L=2.172045826641727, v_R=2.8379541733582725
t=4.9855935935935936, v=2.5049999999999994, theta=0.9699083342357209, v_L=2.1728602588580403, v_R=2.837139741141959
t=4.993057057057057, v=2.5049999999999994, theta=0.9730139583291331, v_L=2.173704476535865, v_R=2.8362955234641336
t=5.000520520520521, v=2.5049999999999994, theta=0.976120703042701, v_L=2.174578056984486, v_R=2.835421943015514
t=5.007983983983984, v=2.5049999999999994, theta=0.9792283388045346, v_L=2.175480571020492, v_R=2.8345194289795073
t=5.015447447447448, v=2.5049999999999994, theta=0.9823366373712846, v_L=2.17641158288979, v_R=2.8335884171102093
t=5.022910910910912, v=2.5049999999999994, theta=0.9854453718771471, v_L=2.177370650975182, v_R=2.832629349024817
t=5.030374374374374, v=2.5049999999999994, theta=0.988554316885808, v_L=2.1783573276684423, v_R=2.8316426723315566
t=5.037837837837838, v=2.5049999999999994, theta=0.9916632484390826, v_L=2.179371159904563, v_R=2.8306288400954362
t=5.0453013013013015, v=2.5049999999999994, theta=0.9947719441052044, v_L=2.180411689382893, v_R=2.829588310617106
t=5.052764764764765, v=2.5049999999999994, theta=0.9978801830267379, v_L=2.181478452788799, v_R=2.8285215472111993
t=5.060228228228229, v=2.5049999999999994, theta=1.0009877459670515, v_L=2.1825709821285204, v_R=2.8274290178714794
t=5.067691691691692, v=2.5049999999999994, theta=1.0040944153556308, v_L=2.18368880503027, v_R=2.8263111949697293
t=5.075155155155155, v=2.5049999999999994, theta=1.0071999753322063, v_L=2.184831445048078, v_R=2.8251685549519205
t=5.082618618618619, v=2.5049999999999994, theta=1.0103042117913783, v_L=2.1859984217895865, v_R=2.8240015782104124
t=5.090082082082082, v=2.5049999999999994, theta=1.0134069124237222, v_L=2.18718925145693, v_R=2.8228107485430685
t=5.097545545545546, v=2.5049999999999994, theta=1.016507866757644, v_L=2.1884034469445064, v_R=2.8215965530554925
t=5.1050090090090094, v=2.5049999999999994, theta=1.0196068661996953, v_L=2.1896405181707745, v_R=2.820359481829224
t=5.112472472472473, v=2.5049999999999994, theta=1.0227037040735305, v_L=2.190899972390017, v_R=2.8191000276099816
t=5.119935935935936, v=2.5049999999999994, theta=1.025798175657473, v_L=2.1921813145020117, v_R=2.817818685497988
t=5.127399399399399, v=2.5049999999999994, theta=1.0288900782218866, v_L=2.193484047239413, v_R=2.816515952760586
t=5.134862862862863, v=2.5049999999999994, theta=1.0319792110644572, v_L=2.194807671544104, v_R=2.815192328455895
t=5.142326326326327, v=2.5049999999999994, theta=1.0350653755448478, v_L=2.196151686791887, v_R=2.8138483132081116
t=5.14978978978979, v=2.5049999999999994, theta=1.0381483751175065, v_L=2.197515591137366, v_R=2.812484408862633
t=5.157253253253254, v=2.5049999999999994, theta=1.0412280153643982, v_L=2.198898881677405, v_R=2.811101118322594
t=5.164716716716717, v=2.5049999999999994, theta=1.0443041040256567, v_L=2.2003010548121464, v_R=2.8096989451878525
t=5.17218018018018, v=2.5049999999999994, theta=1.0473764510287504, v_L=2.201721606542725, v_R=2.8082783934572735
t=5.179643643643644, v=2.5049999999999994, theta=1.0504448685175856, v_L=2.203160032622865, v_R=2.8068399673771336
t=5.187107107107107, v=2.5049999999999994, theta=1.0535091708794289, v_L=2.204615828918736, v_R=2.805384171081264
t=5.194570570570571, v=2.5049999999999994, theta=1.0565691747712453, v_L=2.2060884916055126, v_R=2.8039115083944863
t=5.2020340340340345, v=2.5049999999999994, theta=1.059624699143696, v_L=2.2075775175320858, v_R=2.802422482467913
t=5.209497497497498, v=2.5049999999999994, theta=1.062675565265639, v_L=2.2090824043049566, v_R=2.800917595695043
t=5.216960960960961, v=2.5049999999999994, theta=1.065721596745887, v_L=2.210602650683017, v_R=2.799397349316981
t=5.2244244244244245, v=2.5049999999999994, theta=1.0687626195544246, v_L=2.2121377567548466, v_R=2.7978622432451528
t=5.231887887887888, v=2.5049999999999994, theta=1.0717984620424577, v_L=2.2136872241716117, v_R=2.7963127758283877
t=5.239351351351352, v=2.5049999999999994, theta=1.0748289549608452, v_L=2.2152505564195257, v_R=2.794749443580473
t=5.246814814814815, v=2.5049999999999994, theta=1.0778539314779387, v_L=2.2168272589889715, v_R=2.793172741011028
t=5.254278278278279, v=2.5049999999999994, theta=1.0808732271949395, v_L=2.2184168397198856, v_R=2.7915831602801133
t=5.261741741741742, v=2.5049999999999994, theta=1.0838866801623104, v_L=2.2200188088047907, v_R=2.7899811911952077
t=5.269205205205205, v=2.5049999999999994, theta=1.086894130892228, v_L=2.221632679265079, v_R=2.7883673207349204
